,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
58,585420,20000000,1098,1234,0.1305,0.0068,0.1137,0.000104,0.04,0.16,2012-01-22,eOmZxpg,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_2qtr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
59,1514809,20000000,47,53,0.0892,0.019,0.387,0.000426,0.04,0.11,2012-01-22,qA8ppO1,"ts_skewness(vec_avg(pv64_fund_yield),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
60,425832,20000000,1100,1255,0.062,0.005,0.1821,0.000162,0.03,0.14,2012-01-22,dxp6jAE,"ts_skewness(vec_avg(pv64_dif_fund_mgr_stated_fee),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
61,1196962,20000000,16,11,0.1043,0.016,0.8825,0.000307,0.03,0.07,2012-01-22,OpOj6Xb,"ts_skewness(vec_avg(pv64_dif_stal_fund_early_withdraw_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
62,1209909,20000000,16,12,0.1043,0.0162,0.8812,0.000311,0.03,0.07,2012-01-22,z9ZEGRG,"ts_skewness(vec_avg(pv64_dif_stal_max_redemp_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
63,365021,20000000,1097,1250,0.1325,0.0043,0.1329,6.4e-05,0.02,0.13,2012-01-22,jZvKrEj,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_3qtr),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
64,710898,20000000,552,814,0.0442,0.0082,0.5678,0.000372,0.02,0.06,2012-01-22,VpVLNK5,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_govt),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
65,718197,20000000,680,1290,0.0686,0.0083,0.3741,0.000242,0.02,0.06,2012-01-22,Yp6OzgA,"ts_skewness(vec_avg(pv64_dif_stal_last_dps_gross),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
66,717207,20000000,680,1290,0.0686,0.0083,0.3741,0.000242,0.02,0.06,2012-01-22,Aw95v1Y,"ts_skewness(vec_avg(pv64_dif_stal_dvd_sh_last),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
67,378227,20000000,242,248,0.1348,0.0044,0.3316,6.5e-05,0.01,0.03,2012-01-22,GwPNXLZ,"ts_skewness(vec_avg(pv64_dif_stal_fund_income_ratio),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
