,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
19,1874240,20000000,1408,1345,0.1193,0.0225,0.756,0.000377,0.05,0.11,2012/1/22,PpJRrbM,"ts_skewness(vec_avg(mws92_mt_news_score_m5),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
20,1642862,20000000,1484,1605,0.095,0.0164,0.9496,0.000346,0.03,0.07,2012/1/22,9wzebYo,"ts_skewness(vec_avg(mws92_newsquantified_score_m5),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
21,2132157,20000000,1308,1304,0.0881,0.0213,0.8863,0.000485,0.03,0.08,2012/1/22,ZpR8kzd,"ts_skewness(vec_avg(mws92_benzinga_news_score_m1),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
22,494406,20000000,1652,1390,0.0736,0.005,0.1199,0.000134,0.03,0.14,2012/1/22,m8PG2bE,"ts_skewness(vec_avg(mws92_dowjones_newswires_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
23,950956,20000000,1420,1376,0.0611,0.0095,0.4079,0.000312,0.02,0.06,2012/1/22,oK1bQZl,"ts_skewness(vec_avg(mws92_bbgnews_score_m4),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
24,600755,20000000,1446,1643,0.0947,0.006,0.702,0.000127,0.01,0.03,2012/1/22,RpJOZ50,"ts_skewness(vec_avg(mws92_inferess_v2_score_m5),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
25,-89136,20000000,1593,1499,0.0669,-0.0009,0.0478,-2.70E-05,0,-0.04,2012/1/22,LpPvqLa,"ts_skewness(vec_avg(mws92_newsquantified_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
26,-198804,20000000,1508,1251,0.1235,-0.002,0.3923,-3.20E-05,0,-0.01,2012/1/22,bLYm7eZ,"ts_skewness(vec_avg(mws92_benzinga_news_score_m3),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
27,381384,20000000,1337,1358,0.0963,0.0038,1.0775,7.90E-05,0,0.02,2012/1/22,8zm0gJX,"ts_skewness(vec_avg(mws92_benzinga_news_score_m2),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
28,-30683,20000000,1486,1311,0.0498,-0.0003,0.1229,-1.20E-05,0,-0.01,2012/1/22,vLKEaPG,"ts_skewness(vec_avg(mws92_bbgnews_score_m5),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
29,390493,20000000,1560,1502,0.1122,0.0039,0.7205,7.00E-05,0,0.02,2012/1/22,m8PGJLE,"ts_skewness(vec_avg(mws92_newsquantified_score_m2),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
30,-92288,20000000,1569,1487,0.0714,-0.0009,0.1618,-2.60E-05,0,-0.03,2012/1/22,vLKEngd,"ts_skewness(vec_avg(mws92_djnews_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
31,-558783,20000000,1455,1422,0.0793,-0.0056,0.3019,-0.000141,-0.01,-0.06,2012/1/22,dx2M8RE,"ts_skewness(vec_avg(mws92_dowjones_newswires_score_m2),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
32,-766829,20000000,1446,1532,0.0889,-0.0077,0.5815,-0.000173,-0.01,-0.06,2012/1/22,oK1bwnl,"ts_skewness(vec_avg(mws92_dowjones_newswires_score_m4),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
33,-1169960,20000000,1536,1509,0.1058,-0.0117,0.7564,-0.000221,-0.02,-0.07,2012/1/22,JpVA0Ee,"ts_skewness(vec_avg(mws92_djnews_score_m3),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
34,-1645885,20000000,1227,1452,0.0965,-0.0165,0.8498,-0.000341,-0.03,-0.08,2012/1/22,EwZjo9R,"ts_skewness(vec_avg(mws92_benzinga_news_score_m4),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
35,-1903350,20000000,1255,1563,0.0996,-0.0191,0.6175,-0.000383,-0.05,-0.12,2012/1/22,g1Ylw3Q,"ts_skewness(vec_avg(mws92_tr_trna_eq_score_m4),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
36,-2103401,20000000,1453,1594,0.0679,-0.0211,0.6297,-0.000621,-0.06,-0.15,2012/1/22,p6q2Jr3,"ts_skewness(vec_avg(mws92_djnews_score_m5),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
37,-873473,20000000,1625,1463,0.0795,-0.0087,0.1446,-0.00022,-0.08,-0.31,2012/1/22,7wk5qw5,"ts_skewness(vec_avg(mws92_inferess_v2_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
38,-847731,20000000,1469,1388,0.0813,-0.0085,0.1519,-0.000209,-0.09,-0.35,2012/1/22,eOlYgAd,"ts_skewness(vec_avg(mws92_tr_trna_eq_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
39,-3650507,20000000,1464,1389,0.1125,-0.0365,0.9527,-0.00065,-0.1,-0.18,2012/1/22,xxKL9nq,"ts_skewness(vec_avg(mws92_tr_trna_eq_score_m3),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
40,-3454898,20000000,1446,1572,0.0946,-0.0346,0.7065,-0.000731,-0.11,-0.21,2012/1/22,vLKEnlw,"ts_skewness(vec_avg(mws92_inferess_v2_score_m1),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
41,-4023134,20000000,1365,1703,0.1155,-0.0403,0.7483,-0.000697,-0.15,-0.26,2012/1/22,p6q2Ja3,"ts_skewness(vec_avg(mws92_inferess_v2_score_m4),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
42,-1926461,20000000,1536,1371,0.0824,-0.0193,0.2258,-0.000468,-0.19,-0.49,2012/1/22,xxKLXGb,"ts_skewness(vec_avg(mws92_benzinga_news_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
43,-1494865,20000000,1412,1374,0.0842,-0.0179,0.1496,-0.000425,-0.21,-0.55,2012/1/22,WpEZw3x,"ts_skewness(vec_avg(mws92_mt_news_confidence),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
44,-5447362,20000000,1635,1428,0.1123,-0.0545,0.618,-0.000971,-0.21,-0.32,2012/1/22,ro1q67J,"ts_skewness(vec_avg(mws92_inferess_v2_score_m3),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
45,-7681357,20000000,1249,1237,0.0955,-0.0921,1.3525,-0.001928,-0.25,-0.29,2012/1/22,Xpj3wvm,"ts_skewness(vec_avg(mws92_mt_news_score_m1),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
46,-9023172,20000000,1559,1445,0.1021,-0.0903,1.1048,-0.00177,-0.4,-0.47,2012/1/22,NpXdWnw,"ts_skewness(vec_avg(mws92_dowjones_newswires_score_m3),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
47,-10500151,20000000,1498,1548,0.115,-0.1051,1.222,-0.001829,-0.4,-0.44,2012/1/22,8zm0kno,"ts_skewness(vec_avg(mws92_dowjones_newswires_score_m5),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
